Indicator,Cities,Country,Region,Percentage_Value,Estimate_source,ObjectId
Proportion of population with access to public transport,Cottbus,Germany,Northern America and Europe,93.8, European Commission DG REGIO,865
Proportion of population with access to public transport,Tunbridge Wells,United Kingdom,Northern America and Europe,93.82, European Commission DG REGIO,866
Proportion of population with access to public transport,?widnica,Poland,Northern America and Europe,93.83, European Commission DG REGIO,867
Proportion of population with access to public transport,Linz,Austria,Northern America and Europe,93.84, European Commission DG REGIO,868
Proportion of population with access to public transport,Liège,Belgium,Northern America and Europe,93.86, European Commission DG REGIO,869
Proportion of population with access to public transport,Palermo,Italy,Northern America and Europe,93.87, European Commission DG REGIO,870
Proportion of population with access to public transport,Landshut,Germany,Northern America and Europe,93.9, European Commission DG REGIO,871
Proportion of population with access to public transport,el Masnou,Spain,Northern America and Europe,93.91, European Commission DG REGIO,872
Proportion of population with access to public transport,Charleroi,Belgium,Northern America and Europe,93.93, European Commission DG REGIO,873
Proportion of population with access to public transport,Montreal,Canada,Northern America and Europe,93.94,UN-Habitat Urban Indicators Database,874
Proportion of population with access to public transport,Münster,Germany,Northern America and Europe,93.94, European Commission DG REGIO,875
Proportion of population with access to public transport,Belfast,United Kingdom,Northern America and Europe,93.95, European Commission DG REGIO,876
Proportion of population with access to public transport,Nimes,France,Northern America and Europe,93.96, European Commission DG REGIO,877
Proportion of population with access to public transport,Gevelsberg / Schwelm,Germany,Northern America and Europe,94, European Commission DG REGIO,878
Proportion of population with access to public transport,Thatcham,United Kingdom,Northern America and Europe,94.02, European Commission DG REGIO,879
Proportion of population with access to public transport,Piotrków Trybunalski,Poland,Northern America and Europe,94.02, European Commission DG REGIO,880
Proportion of population with access to public transport,Chemnitz,Germany,Northern America and Europe,94.02, European Commission DG REGIO,881
Proportion of population with access to public transport,Olsztyn,Poland,Northern America and Europe,94.03, European Commission DG REGIO,882
Proportion of population with access to public transport,Clermont-Ferrand,France,Northern America and Europe,94.04, European Commission DG REGIO,883
Proportion of population with access to public transport,Kiel,Germany,Northern America and Europe,94.05, European Commission DG REGIO,884
Proportion of population with access to public transport,Matera,Italy,Northern America and Europe,94.06, European Commission DG REGIO,885
Proportion of population with access to public transport,Oostende,Belgium,Northern America and Europe,94.07, European Commission DG REGIO,886
Proportion of population with access to public transport,Hamm,Germany,Northern America and Europe,94.07, European Commission DG REGIO,887
Proportion of population with access to public transport,Bratislava,Slovakia,Northern America and Europe,94.1, European Commission DG REGIO,888
Proportion of population with access to public transport,Basildon,United Kingdom,Northern America and Europe,94.12, European Commission DG REGIO,889
Proportion of population with access to public transport,Aalborg,Denmark,Northern America and Europe,94.13, European Commission DG REGIO,890
Proportion of population with access to public transport,Les Clayes-sous-Bois,France,Northern America and Europe,94.14, European Commission DG REGIO,891
Proportion of population with access to public transport,Frankfurt (Oder),Germany,Northern America and Europe,94.15, European Commission DG REGIO,892
Proportion of population with access to public transport,Dresden,Germany,Northern America and Europe,94.17, European Commission DG REGIO,893
Proportion of population with access to public transport,Strasbourg,France,Northern America and Europe,94.17, European Commission DG REGIO,894
Proportion of population with access to public transport,Apeldoorn,Netherlands,Northern America and Europe,94.18, European Commission DG REGIO,895
Proportion of population with access to public transport,Tychy,Poland,Northern America and Europe,94.2, European Commission DG REGIO,896
Proportion of population with access to public transport,Jelenia Góra,Poland,Northern America and Europe,94.2, European Commission DG REGIO,897
Proportion of population with access to public transport,Singapore,Singapore,Eastern Asia and South-Eastern Asia,94.2,UN-Habitat Urban Indicators Database,898
Proportion of population with access to public transport,Delmenhorst,Germany,Northern America and Europe,94.22, European Commission DG REGIO,899
Proportion of population with access to public transport,Irakleio,Greece,Northern America and Europe,94.24, European Commission DG REGIO,900
Proportion of population with access to public transport,Palma de Mallorca,Spain,Northern America and Europe,95.79, European Commission DG REGIO,901
Proportion of population with access to public transport,Erlangen,Germany,Northern America and Europe,94.25, European Commission DG REGIO,902
Proportion of population with access to public transport,Leeuwarden,Netherlands,Northern America and Europe,94.26, European Commission DG REGIO,903
Proportion of population with access to public transport,Osnabrück,Germany,Northern America and Europe,94.28, European Commission DG REGIO,904
Proportion of population with access to public transport,Montpellier,France,Northern America and Europe,94.28, European Commission DG REGIO,905
